DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
29-Aug-2025,EQ,"710.00","727.00","709.30","711.60","726.00","725.85","722.50","759.00","577.85",2136019,"1,54,32,67,715.60",63809
28-Aug-2025,EQ,"726.00","726.00","708.70","717.75","714.05","711.60","713.22","759.00","577.85",1888463,"1,34,68,81,903.30",65018
26-Aug-2025,EQ,"720.00","726.60","715.20","722.40","718.40","717.75","720.74","759.00","577.85",5014160,"3,61,38,93,917.55",82255
25-Aug-2025,EQ,"732.75","734.30","720.40","730.70","725.00","722.40","725.35","759.00","577.85",1747160,"1,26,73,03,391.35",46836
22-Aug-2025,EQ,"741.65","742.10","724.65","739.65","731.70","730.70","730.26","759.00","577.85",1579250,"1,15,32,59,859.05",46412
21-Aug-2025,EQ,"759.00","759.00","737.45","751.85","739.00","739.65","745.63","759.00","577.85",3103085,"2,31,37,55,019.60",49710
20-Aug-2025,EQ,"727.85","753.40","717.45","727.95","753.00","751.85","743.34","753.40","577.85",2543319,"1,89,05,58,750.15",73426
19-Aug-2025,EQ,"720.55","730.00","712.05","720.40","723.00","727.95","724.35","745.00","577.85",955973,"69,24,61,909.60",31966
18-Aug-2025,EQ,"725.05","728.70","714.30","710.55","720.15","720.40","719.50","745.00","577.85",1946107,"1,40,02,33,615.65",52020
14-Aug-2025,EQ,"710.20","713.20","704.90","710.20","710.50","710.55","710.47","745.00","577.85",1469217,"1,04,38,31,012.70",40077
13-Aug-2025,EQ,"705.05","711.00","699.25","704.10","710.25","710.20","704.13","745.00","577.85",1291837,"90,96,16,472.65",27990
12-Aug-2025,EQ,"707.70","712.50","702.85","707.00","707.70","704.10","706.45","745.00","577.85",867153,"61,25,98,059.05",42501
11-Aug-2025,EQ,"705.80","710.15","695.20","703.95","708.00","707.00","703.85","745.00","577.85",1145468,"80,62,41,531.65",43656
08-Aug-2025,EQ,"718.95","719.25","702.70","718.55","705.25","703.95","709.01","745.00","577.85",1321300,"93,68,11,258.45",25572
07-Aug-2025,EQ,"712.15","719.90","707.25","714.65","718.10","718.55","713.53","745.00","577.85",977299,"69,73,31,516.25",28715
06-Aug-2025,EQ,"720.00","724.10","709.30","716.05","715.00","714.65","714.80","745.00","577.85",2396780,"1,71,32,27,068.40",48089
05-Aug-2025,EQ,"730.05","734.85","707.40","723.30","716.05","716.05","716.29","745.00","577.85",3632435,"2,60,18,76,376.55",74453
04-Aug-2025,EQ,"712.95","733.90","707.10","711.20","724.40","723.30","719.81","745.00","577.85",4451592,"3,20,43,16,322.60",81391
01-Aug-2025,EQ,"707.10","724.95","707.10","709.80","709.95","711.20","714.81","745.00","577.85",2791635,"1,99,54,89,066.45",54746
31-Jul-2025,EQ,"700.00","714.35","699.00","703.05","709.90","709.80","709.30","745.00","577.85",2682787,"1,90,29,06,833.15",87992
30-Jul-2025,EQ,"698.15","705.65","696.15","698.20","701.65","703.05","701.87","745.00","577.85",2091790,"1,46,81,63,674.80",58725
29-Jul-2025,EQ,"696.00","701.30","691.50","698.40","698.25","698.20","696.07","745.00","577.85",2285806,"1,59,10,75,727.50",64020
28-Jul-2025,EQ,"694.30","709.80","690.20","693.95","697.90","698.40","701.06","745.00","577.85",1956621,"1,37,17,16,150.35",49048
25-Jul-2025,EQ,"705.65","707.05","691.50","706.90","694.00","693.95","696.76","745.00","577.85",937078,"65,29,22,670.25",48761
24-Jul-2025,EQ,"720.00","723.80","701.00","720.60","707.75","706.90","707.56","745.00","577.85",888831,"62,89,02,974.55",30554
23-Jul-2025,EQ,"718.90","722.10","711.70","716.35","720.05","720.60","717.09","745.00","577.85",1226308,"87,93,78,233.00",29771
22-Jul-2025,EQ,"720.00","724.55","714.95","717.70","717.00","716.35","718.36","745.00","577.85",1717457,"1,23,37,59,052.25",35793
21-Jul-2025,EQ,"720.20","726.50","712.80","720.20","720.00","717.70","719.53","745.00","577.85",2355411,"1,69,47,86,513.20",47747
18-Jul-2025,EQ,"733.30","734.10","719.10","733.30","719.50","720.20","723.04","745.00","577.85",554526,"40,09,43,008.70",21777
17-Jul-2025,EQ,"732.90","738.40","731.95","731.65","734.35","733.30","735.19","745.00","577.85",1114793,"81,95,81,576.00",34558
16-Jul-2025,EQ,"745.00","745.00","729.35","740.20","731.00","731.65","734.06","745.00","577.85",1250246,"91,77,50,706.95",33962
15-Jul-2025,EQ,"727.90","742.20","726.25","728.00","740.00","740.20","735.91","744.45","577.85",1267255,"93,25,87,823.10",53275
14-Jul-2025,EQ,"730.70","731.85","722.60","725.65","726.90","728.00","728.09","744.45","577.85",1403107,"1,02,15,83,485.00",30046
11-Jul-2025,EQ,"728.20","735.00","722.55","726.95","725.55","725.65","729.35","744.45","577.85",1263356,"92,14,26,556.70",45407
10-Jul-2025,EQ,"735.00","735.00","725.30","730.35","727.00","726.95","729.12","744.45","577.85",1174052,"85,60,24,222.80",42676
09-Jul-2025,EQ,"730.30","732.20","721.05","727.95","730.65","730.35","726.96","744.45","577.85",2447741,"1,77,94,17,740.25",46001
08-Jul-2025,EQ,"730.00","734.40","725.85","729.35","726.40","727.95","729.41","744.45","577.85",1764146,"1,28,67,93,766.95",28518
07-Jul-2025,EQ,"728.95","739.00","727.30","728.60","730.50","729.35","732.06","744.45","577.85",2641977,"1,93,40,95,643.00",61899
04-Jul-2025,EQ,"735.00","744.45","725.20","713.35","728.00","728.60","733.57","744.45","577.85",6030354,"4,42,37,08,119.15",110346
03-Jul-2025,EQ,"713.20","717.75","707.15","712.40","714.85","713.35","712.25","740.20","577.85",2125636,"1,51,39,94,429.45",37636
02-Jul-2025,EQ,"717.05","719.10","705.35","717.30","708.55","712.40","711.34","740.20","577.85",2521750,"1,79,38,24,310.85",48185
01-Jul-2025,EQ,"723.95","729.00","710.50","722.35","716.00","717.30","717.89","740.20","577.85",1202600,"86,33,39,879.60",39744
30-Jun-2025,EQ,"729.45","730.95","718.00","731.65","722.00","722.35","721.31","740.20","577.85",1618205,"1,16,72,32,963.25",48687
27-Jun-2025,EQ,"728.00","735.70","724.45","726.25","729.60","731.65","731.30","740.20","577.85",4329253,"3,16,59,75,641.25",109090
26-Jun-2025,EQ,"705.80","727.90","705.80","704.90","725.00","726.25","719.94","740.20","577.85",3673197,"2,64,44,78,387.30",86381
25-Jun-2025,EQ,"708.90","712.00","703.60","703.50","703.95","704.90","707.14","740.20","577.85",3216401,"2,27,44,54,675.45",61382
24-Jun-2025,EQ,"699.15","705.70","695.00","693.90","704.00","703.50","702.07","740.20","577.85",1250576,"87,79,95,917.00",35607
23-Jun-2025,EQ,"691.00","699.00","687.55","693.30","692.80","693.90","695.04","740.20","577.85",1200845,"83,46,40,758.95",33197
20-Jun-2025,EQ,"690.60","696.80","687.00","690.60","689.00","693.30","691.19","740.20","577.85",2558526,"1,76,84,16,380.35",41896
19-Jun-2025,EQ,"694.00","695.50","687.40","689.70","690.00","690.60","691.36","740.20","577.85",973270,"67,28,81,204.80",19388
18-Jun-2025,EQ,"686.85","694.60","686.25","686.85","690.80","689.70","689.83","740.20","577.85",1810324,"1,24,88,19,599.45",27843
17-Jun-2025,EQ,"692.00","696.40","684.20","690.80","686.00","686.85","690.20","740.20","577.85",2159490,"1,49,04,88,089.60",34601
16-Jun-2025,EQ,"685.60","692.25","680.30","691.20","692.00","690.80","687.77","740.20","577.85",1894563,"1,30,30,19,665.00",38547
13-Jun-2025,EQ,"684.80","693.55","681.85","692.45","691.50","691.20","689.06","740.20","577.85",1359160,"93,65,46,102.55",31740
12-Jun-2025,EQ,"703.80","705.00","690.60","700.25","691.30","692.45","694.12","740.20","577.85",1686574,"1,17,06,82,412.20",38455
11-Jun-2025,EQ,"699.00","707.40","697.40","698.65","700.90","700.25","701.77","740.20","577.85",3560937,"2,49,89,46,391.30",44167
10-Jun-2025,EQ,"707.40","708.75","696.40","704.35","698.95","698.65","699.97","740.20","577.85",1533185,"1,07,31,77,271.50",47976
09-Jun-2025,EQ,"700.45","705.90","695.10","698.65","704.30","704.35","699.88","740.20","577.85",904800,"63,32,50,479.20",20374
06-Jun-2025,EQ,"705.00","705.75","697.00","703.15","700.00","698.65","699.66","740.20","577.85",1105116,"77,32,01,157.95",35440
05-Jun-2025,EQ,"707.05","707.05","699.65","703.05","700.30","703.15","703.47","740.20","577.85",1319022,"92,78,98,838.45",30099
04-Jun-2025,EQ,"704.50","708.45","699.80","703.60","705.75","703.05","703.25","740.20","577.85",1944866,"1,36,77,26,189.65",56941
03-Jun-2025,EQ,"708.80","708.80","699.45","704.35","704.65","703.60","702.32","740.20","577.85",1738779,"1,22,11,78,797.65",36962
02-Jun-2025,EQ,"715.05","718.80","700.80","716.45","703.20","704.35","706.72","740.20","577.85",1630797,"1,15,25,08,752.55",57180
30-May-2025,EQ,"719.40","727.90","711.90","723.45","718.00","716.45","717.43","740.20","577.85",3894257,"2,79,38,73,292.85",57366
29-May-2025,EQ,"723.90","726.00","712.30","719.30","723.25","723.45","719.26","740.20","577.85",2316776,"1,66,63,58,123.00",68607
28-May-2025,EQ,"718.10","725.00","713.70","715.65","721.40","719.30","720.22","740.20","577.85",2271957,"1,63,62,98,403.05",38413
27-May-2025,EQ,"712.45","717.00","702.75","711.35","716.90","715.65","712.55","740.20","577.85",1267453,"90,31,26,529.20",30924
26-May-2025,EQ,"704.00","712.50","702.35","700.85","712.45","711.35","708.19","740.20","577.85",1994607,"1,41,25,54,465.95",45445
23-May-2025,EQ,"698.25","709.25","696.75","698.25","701.65","700.85","703.39","740.20","577.85",1724941,"1,21,33,01,825.45",25604
22-May-2025,EQ,"709.80","712.00","695.10","709.65","698.75","698.25","699.23","740.20","577.85",2352847,"1,64,51,92,285.70",39145
21-May-2025,EQ,"705.25","718.30","705.25","704.05","710.00","709.65","710.83","740.20","577.85",2944314,"2,09,29,19,260.25",51744
20-May-2025,EQ,"721.80","722.75","702.30","716.60","704.60","704.05","710.00","740.20","577.85",2493313,"1,77,02,43,510.70",47503
19-May-2025,EQ,"724.40","726.80","713.55","724.40","716.15","716.60","717.93","740.20","577.85",1434238,"1,02,96,83,122.30",33851
16-May-2025,EQ,"721.00","729.90","716.10","720.60","723.00","724.40","724.70","740.20","577.85",1909055,"1,38,34,93,661.90",45752
15-May-2025,EQ,"726.80","731.00","716.70","722.55","721.75","720.60","723.08","740.20","577.85",4308349,"3,11,52,83,564.45",62821
